car_id,car_make,car_model,car_year,car_vin,car_color
64,Dodge,Ram 3500,2000,1G6DJ5EV4A0963276,Crimson
65,Lexus,ES,2006,WBA3B3C57DJ890848,Green
66,GMC,Yukon,2013,WBAKF3C57BE374317,Blue
67,Aston Martin,DB9,2008,WVGEF9BP5ED627727,Mauv
68,Mercedes-Benz,S-Class,1987,WAUNG94F39N334959,Maroon
69,Chevrolet,G-Series G30,1993,JM1NC2JF8B0914348,Pink
70,Chevrolet,Cobalt,2010,1G6DP8E34C0927606,Blue
71,Honda,Odyssey,2000,1G6KF549X2U748444,Teal
72,GMC,Yukon,1995,5J6TF2H55FL025310,Purple
73,Chevrolet,Corvette,1963,WBAFZ9C56CC193444,Red
74,Suzuki,Kizashi,2011,WBAWL13548P148828,Khaki
75,Mercedes-Benz,G-Class,2012,SCFAD01E69G843712,Yellow
76,Volvo,C30,2011,WA1DGBFE4ED623904,Red
77,Nissan,NV3500,2012,5UXFF0C57AL597744,Teal
78,Chevrolet,Malibu,2010,JTHBC1KS6A5135748,Purple
79,Dodge,Viper,2010,1G4GC5EC4BF755427,Maroon
80,Isuzu,Trooper,1992,YV1672MK9B2089341,Aquamarine
81,Dodge,Magnum,2006,3GYEK62N05G719807,Crimson
82,Tesla,Roadster,2011,KMHEC4A49EA807023,Orange
83,Pontiac,Firebird,1997,1GD021EG9FZ021595,Khaki
84,Ford,Probe,1991,WBAPH7C50BE983045,Blue
85,Dodge,Daytona,1984,5J6TF1H53EL507699,Purple
86,Pontiac,Grand Prix,1998,2C3CDXBGXDH595658,Teal
87,Ford,Explorer Sport Trac,2003,WAUAFAFH0AN695569,Khaki
88,Toyota,Tacoma Xtra,1998,WBAEU33493P552194,Khaki
89,Kia,Sportage,2000,1G6AJ1R35F0600884,Crimson
90,Oldsmobile,98,1993,3D73Y4CL9BG453508,Indigo
91,GMC,Savana 2500,2003,1D7RW7GP6AS673548,Blue
92,Mitsubishi,Diamante,2001,3C4PDDEG8FT527750,Goldenrod
93,Mitsubishi,Montero Sport,2002,5N1AR2MM7FC530519,Teal
94,Mercury,Mountaineer,2005,YV1612FS0E2008813,Mauv
95,Chevrolet,Silverado 3500HD,2006,1G6KD54Y51U224789,Teal
96,Acura,Integra,1988,WAUNF78P16A459195,Orange
97,Pontiac,Bonneville,1993,WAU4GAFB9AN032426,Maroon
98,Kia,Sedona,2008,JTHFF2C27F2623287,Orange
99,Toyota,Prius Plug-in,2012,SCFAB42322K188655,Red
100,Ford,Tempo,1990,WBAPK53579A339730,Turquoise
101,Jaguar,XJ,2006,3VW517AT8FM110009,Green
102,Porsche,968,1994,5UXWX9C50D0140443,Red
103,Pontiac,Grand Am,1987,5TDBKRFH3ES882645,Goldenrod
104,Volvo,S60,2005,1N4AA5AP0EC998849,Teal
105,Buick,Century,1999,WAUMF68P16A795337,Red
106,Lamborghini,Murciélago,2008,JH4DC54843S672270,Goldenrod
107,Lexus,RX Hybrid,2011,3D73M4CL7BG348669,Red
108,Ford,Mustang,1967,1FTEX1CM1DF171345,Yellow
109,Mercury,Grand Marquis,1991,1G6AV5S82E0865374,Purple
110,Ford,Explorer,2010,JTHKD5BH2F2661618,Green
111,Pontiac,Firebird,1968,JH4CU2F65CC002174,Aquamarine
112,Volkswagen,Fox,1991,WBAPK7C5XBF713851,Yellow
113,Hyundai,Santa Fe,2011,SCBBR53W36C998845,Yellow
114,Pontiac,6000,1990,1FMNE1BW6AD359726,Violet
115,GMC,Savana 1500,2007,5N1AA0NC5FN927944,Blue
116,Mercury,Grand Marquis,1989,JN8AZ2KR6AT349170,Violet
117,Aston Martin,V8 Vantage S,2012,JM1NC2JFXF0833826,Orange
118,Mercedes-Benz,600SEL,1992,WBA3A9C54DF707558,Mauv
119,Ram,Dakota,2011,1GD120EG0BF968647,Aquamarine
120,Acura,RSX,2004,19UYA42702A004453,Teal
121,Volkswagen,GTI,1995,5XXGM4A72CG560045,Fuscia
122,Aston Martin,DB9,2007,1FMJK1F52AE160871,Pink
123,Cadillac,Escalade,2005,5GAKVBKD8DJ254837,Khaki
124,Pontiac,Grand Prix,1984,5UXWX9C50F0554096,Blue
125,Ford,Thunderbird,1990,WAUVT68E73A123550,Blue
126,Chevrolet,Express 1500,2007,WVGAV3AX2EW611795,Turquoise
127,Dodge,Viper,2006,1FMJK1FT4FE260007,Green
128,GMC,1500 Club Coupe,1997,SCFAD01A37G481431,Maroon
129,Toyota,Camry,2011,1G6AS5S3XF0172583,Goldenrod
130,Ford,E150,2004,1G4PR5SK7F4027404,Green
131,Acura,Integra,1999,1G6DA5E53C0827675,Crimson
132,Land Rover,Defender,1997,WBAGN83413D706840,Red
133,Buick,Electra,1988,TRUUT28N431206835,Turquoise
134,Land Rover,Discovery,2010,5J6TF2H58FL901058,Yellow
135,Chevrolet,Suburban,2007,1GTPCTEX2AZ684740,Puce
136,Lincoln,Mark VIII,1996,WAUAF78E28A680045,Green
137,Dodge,Dakota Club,1996,1G6KH5E65BU882082,Khaki
138,Volkswagen,Jetta,2004,SCBFT7ZA5FC677853,Violet
139,Lotus,Esprit,2001,TRUTC28N811252838,Blue
140,BMW,5 Series,2006,1FTEX1CMXBF942981,Orange
141,Dodge,Caravan,2011,JM1NC2LFXD0746633,Pink
142,Mazda,RX-7,1988,WBAUC9C59DV940131,Fuscia
143,Honda,S2000,2004,JN8AS5MT1DW489953,Violet
144,Toyota,Venza,2013,TRUTC28N851328094,Turquoise
145,Dodge,Dakota Club,2000,WAUBF48H08K109306,Teal
146,Toyota,Avalon,2007,19XFA1E83AE598007,Turquoise
147,Toyota,MR2,1986,JN1AJ0HP3BM055611,Violet
148,Honda,Accord,1996,WBA1J7C57FV842442,Khaki
149,Volvo,C70,2013,1FMNE1BW0AD420679,Fuscia
150,Lexus,RX,1999,1D7RB1GT3BS101876,Green
151,Ford,Contour,1995,SCBLE37G83C468275,Yellow
152,Mazda,626,1995,WAUEFBFL3EN805032,Turquoise
153,Mercury,Sable,2009,JTDKN3DU0F0669855,Turquoise
154,Mazda,RX-8,2010,5J8TB18228A551377,Violet
155,Chevrolet,Camaro,1967,1FTEX1CM7BF553764,Blue
156,Mazda,626,1984,3GYVKNEF1AG067823,Fuscia
157,Ford,Ranger,2005,JM1GJ1T64E1728679,Yellow
158,Lotus,Elan,1991,WBAFV3C51ED862869,Yellow
159,Toyota,Sequoia,2012,1FMJU2A57AE168469,Indigo
160,Pontiac,Vibe,2004,WBASP2C51CC261998,Pink
161,Honda,del Sol,1994,5J8TB3H59GL817003,Indigo
162,Honda,Odyssey,1999,3C3CFFFH9CT929868,Khaki
163,Audi,RS6,2003,3C63D2GL8CG051850,Yellow
164,Nissan,Altima,1998,WBAYF8C58ED843223,Blue
165,Cadillac,CTS-V,2011,WVGAV7AX5AW150433,Aquamarine
166,Nissan,Xterra,2000,JTJBM7FX3E5577980,Khaki
167,Honda,Prelude,1993,2C3CCAJG7EH944973,Indigo
168,Audi,Coupe GT,1986,WAUYP54B91N694423,Blue
169,Pontiac,Grand Am,1994,JTDKN3DU9B0035003,Aquamarine
170,Nissan,Murano,2010,WBAWV1C54AP841592,Khaki
171,Pontiac,Firebird,1994,WAUSF98E57A173462,Maroon
172,Suzuki,SJ,1991,JTJBC1BA8C2377273,Purple
173,GMC,1500 Club Coupe,1999,WBANB53586C345060,Yellow
174,GMC,Savana,2006,19VDE3F79EE330865,Fuscia
175,Mitsubishi,Montero,2001,1C3BC6EV4AN399298,Maroon
176,Lexus,GS,1995,WAUJT64B62N418575,Pink
177,Volvo,XC90,2006,KL4CJCSB6EB852787,Maroon
178,Mercury,Cougar,1996,WBALM5C56AE668697,Khaki
179,Dodge,Neon,2005,JN8AF5MR7DT918524,Aquamarine
180,Ferrari,430 Scuderia,2008,JN1AJ0HP9BM511224,Pink
181,Mazda,Miata MX-5,1999,WAUPL68E64A871958,Purple
182,Dodge,Caliber,2012,1C4RDHEG5CC846918,Turquoise
183,Nissan,Murano,2009,WAULD64B03N608069,Puce
184,Suzuki,Swift,1995,3D73M4EL7BG669611,Yellow
185,Chevrolet,Corvette,2005,JN8AZ2KRXDT804638,Indigo
186,Volkswagen,New Beetle,2001,JHMZF1D6XES547863,Violet
187,Dodge,Ram,2008,JM1GJ1T65E1403877,Green
188,BMW,M3,1997,19UYA42661A872415,Green
189,Buick,Park Avenue,2003,1FTSF3A5XAE601050,Khaki
190,GMC,Sierra 3500,2005,1GYS3NKJ5FR535049,Violet
191,Ford,E-Series,2011,WBAPH7C51BA450743,Maroon
192,Mitsubishi,Outlander,2005,5N1AA0NDXFN776768,Blue
193,Chevrolet,Express 2500,2005,WA1VGAFP1FA319349,Fuscia
194,Nissan,Quest,2012,WBAAV33421E734114,Mauv
195,Jeep,Wrangler,1995,JH4DC53056S571173,Purple
196,Rolls-Royce,Phantom,2013,JN1EY1APXEM815051,Yellow
197,Buick,Century,1991,5UMDU93416L455046,Puce
198,Lotus,Esprit,1985,WBAYM1C50DD881119,Turquoise
199,BMW,X6,2009,JM1CR2W38A0226756,Pink
200,Lincoln,Continental,1985,WAU32AFD6FN252450,Purple
201,Aston Martin,DB9,2006,3C6JD6DK8CG851817,Orange
202,Mazda,Tribute,2001,JTDKN3DP4F3338561,Puce
203,Pontiac,Trans Sport,1995,WAUBH78E36A246776,Maroon
204,Pontiac,Grand Am,1992,WAUSF78K69N526071,Turquoise
205,Chevrolet,Express 2500,2005,5FRYD3H20FB814222,Red
206,Dodge,Durango,2012,3GYFNEE30ES888402,Violet
207,Mercedes-Benz,E-Class,1984,ML32A3HJ8FH513028,Pink
208,Chevrolet,Lumina,1992,1FMCU5K31AK996767,Khaki
209,Land Rover,Discovery,1998,WAURFAFR6DA305985,Goldenrod
210,Ford,F150,1999,JTHBK1GG7D2486746,Pink
211,Plymouth,Breeze,1999,1G6DP8ED9B0901462,Maroon
212,Chrysler,LHS,1997,KNADH4A38A6340762,Blue
213,Ford,Explorer Sport,2000,1C3CDWEA2CD180640,Indigo
214,GMC,Yukon,1997,WAUXU54B73N613524,Aquamarine
215,Mazda,RX-8,2005,3C4PDCAB5FT341894,Khaki
216,Audi,Q7,2011,WAUUL78E97A330044,Violet
217,Scion,tC,2009,JN8AF5MR3FT210760,Green
218,Ford,Escort,1991,1G6DM57N930611771,Turquoise
219,Nissan,Maxima,2011,2D4JN1AG7BR310312,Aquamarine
220,Mercedes-Benz,E-Class,2004,WBA3B5C57FP515358,Indigo
221,Volkswagen,Passat,1995,WAUFGBFB7AN690776,Violet
222,Chrysler,Crossfire,2004,SAJWA0F78F8049129,Fuscia
223,Mitsubishi,GTO,1994,WDDGF5EB7AF478005,Turquoise
224,Hyundai,Excel,1993,5N1AN0NW4DN549496,Crimson
225,Isuzu,Hombre Space,1997,1FAHP3DN6AW016827,Purple
226,Chevrolet,Colorado,2012,WBA3A5G53EN651977,Red
227,Volvo,S80,2004,JH4KA96594C591395,Red
228,Infiniti,QX56,2012,SAJWA1CZXE8715790,Puce
229,Hyundai,Genesis Coupe,2013,1FTMF1EW5AK912354,Green
230,Ford,Taurus,1987,1G6AB5R36E0991367,Orange
231,Toyota,Corolla,1995,WAUED54B81N489333,Yellow
232,Chrysler,Concorde,2004,WA1WKAFP3BA845138,Fuscia
233,Mercedes-Benz,Sprinter 2500,2011,WBAEW53435P985227,Violet
234,Pontiac,G5,2008,ZFBCFADH9FZ528757,Fuscia
235,Nissan,Quest,2004,WAUEKAFB2AN398456,Pink
236,Ford,Econoline E150,1995,SCFLDCFP4EG765266,Purple
237,Infiniti,G,1996,2C3CCAJGXDH495514,Red
238,Chevrolet,Express,2009,3D7TT2HT5AG653621,Teal
239,Buick,LeSabre,1988,3D73M4CL1BG714416,Purple
240,Ford,Ranger,2005,SAJWA1CB6CL528804,Green
241,Hyundai,Santa Fe,2009,WBA3B5G52DN521653,Blue
242,Lexus,HS,2011,WBAFR9C56DD278540,Mauv
243,Hyundai,Sonata,2011,JM1GJ1T64E1932799,Yellow
244,Chevrolet,3500,1999,JN1AZ4EH0EM394909,Red
245,Kia,Mohave/Borrego,2009,JN1AZ4EH8FM027998,Yellow
246,Lexus,LX,1998,1NXBU4EE5AZ825983,Red
247,Oldsmobile,Regency,1998,1C6RD6FP2CS196459,Khaki
248,Volkswagen,Golf,1988,3VWML7AJ3DM580661,Turquoise
249,Subaru,Impreza,1998,WBALM7C59EE093559,Purple
250,BMW,M,2001,2HNYD18734H107991,Goldenrod
251,Toyota,MR2,2000,JN8AE2KP4F9906334,Aquamarine
252,Mazda,Mazda3,2007,1N6AA0CC6EN528947,Blue
253,Dodge,Viper,2009,5N1AT2MK2FC816603,Orange
254,Ford,Taurus X,2009,1G6AY5S35E0671370,Aquamarine
255,GMC,Yukon XL 2500,2013,1GYS3DEFXBR236054,Red
256,Mercedes-Benz,400E,1993,KNAFU6A25C5617397,Khaki
257,Ford,E350,2003,KNDJT2A26D7016689,Fuscia
258,Cadillac,DTS,2006,JTJBM7FXXE5808602,Crimson
259,GMC,Envoy,2005,WAUFFAFM3CA296491,Aquamarine
260,Infiniti,QX,2004,5TDDK3DC8FS738684,Red
261,Chevrolet,Cavalier,1999,JM3TB2BA2D0988775,Blue
262,Chevrolet,Suburban 1500,2009,1C3CDFAA1DD789435,Turquoise
263,Lincoln,Town Car,1988,NM0KS6AN8AT574536,Khaki
264,BMW,7 Series,2006,1GD11ZCG9DF016761,Indigo
265,Toyota,Prius,2002,WBA3D3C54EF378642,Pink
266,BMW,5 Series,2010,1N6AD0CW0FN619389,Aquamarine
267,Chevrolet,Express,2006,JN8AZ1MU1EW321096,Mauv
268,Oldsmobile,Silhouette,2003,19UUA66214A844415,Teal
269,Ford,Club Wagon,1993,3VWF17AT7FM960931,Mauv
270,Nissan,Titan,2005,WDCGG0EB0FG174911,Maroon
271,Mazda,Protege5,2003,KMHTC6AD2EU498139,Aquamarine
272,Lincoln,MKX,2012,JN1AZ4EH6AM989015,Fuscia
273,Chevrolet,Corvette,1970,WBA3G7C50FK053882,Pink
274,Nissan,Pathfinder,2010,WA1DKBFP5BA776434,Violet
275,Cadillac,SRX,2005,WA1LMAFE3AD122978,Indigo
276,Isuzu,Amigo,1999,1B3CB4HA3AD575118,Yellow
277,Buick,Century,1984,3C63DPHL3CG939790,Violet
278,Plymouth,Laser,1994,1FTEW1CFXFK161217,Puce
279,Ford,Crown Victoria,2010,WAUDH98E08A492935,Indigo
280,Suzuki,Grand Vitara,2006,JH4CU2F66DC491217,Khaki
281,Mercedes-Benz,W123,1977,WBAWR33509P720604,Yellow
282,Hyundai,Santa Fe,2004,5UXFG2C57DL246684,Pink
283,Mazda,Familia,1992,1G4CU541744010701,Yellow
284,Lincoln,Navigator L,2007,1LNHL9DK3DG617511,Crimson
285,GMC,1500 Club Coupe,1993,WBANV135X9B226243,Pink
286,Chevrolet,Caprice Classic,1993,WAUVC68E02A356328,Orange
287,Ford,Explorer Sport,2003,3GYFNDE3XFS346803,Blue
288,Kia,Rio,2004,2FMDK3AC7AB950936,Goldenrod
289,Ford,Club Wagon,1998,1D7RE2GKXBS132188,Purple
290,Ford,E-Series,2010,WBAYB6C55FD657169,Orange
291,Volkswagen,Golf,2000,W04GP5EC8B1920718,Green
292,Toyota,Prius Plug-in Hybrid,2012,19UUA76547A750999,Violet
293,Buick,Lucerne,2009,1N6AF0KX4FN206251,Fuscia
294,Chevrolet,Silverado 1500,2012,1G6DH8E53D0052776,Green
295,Audi,A4,2011,5TDBCRFH2FS502225,Turquoise
296,Ford,Galaxie,1966,WBAWR33539P622067,Aquamarine
297,Pontiac,Trans Sport,1995,WAUDK78T38A413181,Blue
298,Mercedes-Benz,W201,1987,WBAVA37537N193857,Green
299,Honda,CR-V,1997,WAUDV74F59N324326,Goldenrod
300,Ford,Club Wagon,1993,1GD422CG3EF305976,Maroon
301,Mazda,B-Series Plus,1995,3C63DRAL1CG787529,Aquamarine
302,Toyota,Supra,1997,WBAVA37518N705844,Khaki
303,Pontiac,Bonneville,1998,2G4WE567851848809,Maroon
304,Toyota,Supra,1995,3D4PH6FV7AT336054,Goldenrod
305,Nissan,Quest,2006,3FAHP0HA6AR729381,Puce
306,Chevrolet,G-Series 2500,1997,1B3BD4FB3BN866280,Fuscia
307,Mercury,Grand Marquis,1995,1N6AA0CJ0EN510555,Yellow
308,Mitsubishi,Lancer,2005,1D4PT4GX6BW451582,Red
309,Ford,F350,1993,SALAC2D43BA208657,Teal
310,Volkswagen,Jetta,1990,JTHBE1BL6D5767687,Green
311,Isuzu,Space,1992,1GYS3JKJ7FR023074,Aquamarine
312,Nissan,Pathfinder,1994,3D4PG4FB3AT562752,Green
313,Chevrolet,Metro,1999,5UXWX5C59CL897010,Fuscia
314,Buick,Skylark,1992,1G6DK5E36D0303353,Khaki
315,Audi,80,1990,WUARU98E57N006098,Blue
316,Mazda,Mazda3,2009,WAUAFAFL8AN411013,Goldenrod
317,Hyundai,Scoupe,1994,3VW467AT8DM712063,Maroon
318,Suzuki,Grand Vitara,2007,1N6AA0CA7BN150065,Blue
319,Audi,riolet,1997,WAUJC68E74A482705,Orange
320,Acura,TSX,2012,19UYA42532A308116,Khaki
321,Chevrolet,Avalanche 2500,2006,JTEBU4BF2AK318502,Green
322,Honda,Civic Si,2006,WA1WMAFE7CD178079,Red
323,Volvo,S40,2008,WAUDH98E48A748994,Khaki
324,Volkswagen,Jetta,2003,19UUA9F2XEA333160,Puce
325,Chevrolet,Silverado 2500,1999,WBAGN83534D574920,Yellow
326,Chevrolet,Monte Carlo,2001,1N6AA0CC7EN653696,Green
327,Nissan,GT-R,2010,JHMZE2H55AS953859,Orange
328,Toyota,Echo,2004,WAUMV94E19N514515,Aquamarine
329,Dodge,Ram 3500,2001,5GAKVBEDXBJ762509,Turquoise
330,Ford,Windstar,1999,JTJBARBZ7F2344568,Yellow
331,Lotus,Elan,1992,JN1AZ4EH6CM373821,Teal
332,Hyundai,Sonata,2007,WAUAH74F46N344296,Blue
333,Mercury,Mariner,2008,JTDKN3DU1F0385408,Turquoise
334,Nissan,Pathfinder,2004,1FMJK1G58CE635750,Puce
335,Buick,Skylark,1987,2G4GS5EV3C9059754,Pink
336,Mazda,MX-6,1995,1N6AA0CH2EN142134,Puce
337,Audi,A3,2009,2C4RDGBG1ER146757,Purple
338,Porsche,Boxster,1998,WBALZ5C57CC575705,Turquoise
339,Ford,Escape,2009,JN8AS5MT2CW980658,Yellow
340,Mitsubishi,Galant,2011,WA1CMAFE8AD595582,Indigo
341,GMC,Yukon XL 1500,2001,19XFB2F50FE142366,Red
342,Mazda,Miata MX-5,1996,1G6AF5S35D0476924,Yellow
343,Subaru,Justy,1987,JHMZF1C69FS690922,Turquoise
344,Infiniti,G,2000,3VWF17AT3FM436966,Pink
345,GMC,Vandura 3500,1993,1N6AA0EJ5FN812437,Crimson
346,Ford,Focus,2013,2T2BK1BA4BC044084,Turquoise
347,Ford,Expedition EL,2007,WAUDF98E95A418205,Fuscia
348,Mazda,RX-7,1990,WBSCL93461L709578,Pink
349,Toyota,Camry,1997,WBABV13465J110550,Violet
350,Toyota,Celica,2005,JA32X8HW9AU546896,Puce
351,Volkswagen,Rabbit,2006,4A4AP3AU0DE997330,Khaki
352,Nissan,NV2500,2012,WAUBFAFL1CN603624,Purple
353,Lotus,Exige,2007,5TDBK3EH8DS645243,Purple
354,Nissan,Altima,1995,2C3CDZFJ4FH854875,Orange
355,Mercury,Cougar,1970,WBANN73556B873308,Mauv
356,Nissan,Xterra,2000,WA1LGBFE3CD334523,Puce
357,Volkswagen,Touareg 2,2009,JTHBB1BA2B2555133,Orange
358,Suzuki,Vitara,2003,1GD12ZCG8BF949318,Maroon
359,Audi,Coupe GT,1985,WAUAF78E28A398682,Red
360,Mercedes-Benz,S-Class,2001,WBSPM93519E534549,Green
361,Audi,A8,2010,JTEBU5JR6E5272100,Yellow
362,Subaru,Brat,1987,WBAWV5C55AP607663,Violet
363,Ford,Aerostar,1996,JTHBL5EF6E5046175,Yellow
364,Honda,Pilot,2002,5UMDU93508L379704,Indigo
365,Land Rover,Defender,1994,1FTWW3B54AE699850,Pink
366,Chevrolet,Cavalier,2001,5J6TF1H32EL610448,Fuscia
367,Volkswagen,rio,2002,1N6AF0LY5FN184428,Fuscia
368,Nissan,Xterra,2011,2FMGK5DCXAB154346,Crimson
369,GMC,Jimmy,2001,WBAKF5C59DJ190521,Pink
370,Pontiac,G5,2009,2G4WF551011333050,Purple
371,Mercedes-Benz,G-Class,2004,WA1CFAFP3DA318968,Mauv
372,Kia,Sportage,1996,WAUEFAFL5BA267835,Red
373,Ford,Focus,2005,3D73M3HL3BG577188,Orange
374,Volvo,XC90,2007,3GYFNGE36CS079155,Yellow
375,Ford,E350,2010,WA1LFBFP0DA217361,Khaki
376,Infiniti,G,2000,WVGAV7AX9CW154441,Maroon
377,Dodge,Monaco,1992,SCFEBBAK9DG364721,Green
378,Saab,9-7X,2009,1C3BCBFG3CN105112,Violet
379,Ford,Explorer Sport Trac,2006,WBA3V9C52F5404694,Khaki
380,Honda,Civic,2003,WAUKFAFL1DA600361,Teal
381,Dodge,Nitro,2007,WAUEFAFL8CN512735,Pink
382,Toyota,Paseo,1996,WBABN33431J128137,Red
383,Ferrari,599 GTB Fiorano,2009,1G6KD57Y64U003864,Fuscia
384,Oldsmobile,Silhouette,2003,1FTWW3A57AE153769,Violet
385,Ford,Ranger,2011,WAUVT68E62A028198,Pink
386,Volkswagen,Fox,1991,KNALN4D72E5770074,Indigo
387,Chevrolet,Astro,1993,WAUAFAFLXCN675188,Purple
388,Mitsubishi,Pajero,2003,3GYFNFEY7AS100842,Indigo
389,GMC,Yukon,2004,5UXZV4C52BL630285,Blue
390,Volvo,C70,2011,5N1AR1NB1BC015274,Fuscia
391,Audi,200,1991,3VW507AT8EM390208,Khaki
392,GMC,2500,1999,WBA3B5C55FP394331,Turquoise
393,Toyota,Corolla,2000,WBAEP33434P777722,Pink
394,Chevrolet,Avalanche 1500,2002,JM1NC2EF9A0156688,Mauv
395,Toyota,Avalon,1999,SCBCR73W08C586126,Purple
396,Saab,900,1999,1VWAS7A31FC899987,Pink
397,Toyota,Tacoma,2012,4JGBF2FEXCA379704,Orange
398,Lamborghini,Aventador,2012,3VW1K7AJ6CM907171,Teal
399,Acura,TL,2003,1N6AF0LXXEN269755,Teal
400,BMW,530,2001,JM1NC2LF4F0897549,Pink
401,GMC,Yukon XL 2500,2000,WAUMGAFL5AA245521,Teal
402,Maybach,57,2010,WBAKG1C53CE324789,Turquoise
403,Ford,Escort,1993,JTJHY7AX7D4822774,Red
404,Mitsubishi,Galant,1999,SALFR2BN7BH121870,Red
405,Ford,Focus,2005,1GYS4RKJ3FR844345,Mauv
406,Volkswagen,Touareg,2008,1FMJK1HT0FE154330,Turquoise
407,Chevrolet,Suburban 1500,2006,1G6DA8E53D0052975,Maroon
408,Maybach,57,2008,WAUDF98E86A219860,Pink
409,Lexus,RX,2006,WAUGL98E88A030456,Purple
410,Nissan,NV1500,2012,WAULD64B44N205519,Puce
411,Maybach,62,2012,YV1612FH8D2082953,Blue
412,Acura,MDX,2011,1N6AF0KY8FN625633,Turquoise
413,Nissan,Murano,2009,WVWAA7AJXCW524789,Green
414,GMC,Savana,2011,5N1AT2MK7FC238899,Turquoise
415,Ford,Ranger,2008,JTDKN3DP9C3372264,Puce
416,Chevrolet,K5 Blazer,1995,JTDKTUD30ED832529,Yellow
417,Maserati,228,1989,WAUBVAFA6AN669889,Khaki
